departure_city,arrival_city,departure_station,arrival_station,travel_time,departure_coordinates,arrival_coordinates
Rouen,Oissel,Rouen Rive Droite,Oissel,9,"49.4486630,1.09410300","49.3430850,1.10193700"
Oissel,Val-de-Reuil,Oissel,Val-de-Reuil,8,"49.3430850,1.10193700","49.2754370,1.22414700"
Val-de-Reuil,Le Val d'Hazey,Val-de-Reuil,Gaillon - Aubevoye,9,"49.2754370,1.22414700","49.1746640,1.35260900"
Le Val d'Hazey,Vernon,Gaillon - Aubevoye,Vernon - Giverny,8,"49.1746640,1.35260900","49.0915730,1.47829700"
Vernon,Mantes-la-Jolie,Vernon - Giverny,Mantes-la-Jolie,17,"49.0915730,1.47829700","48.9898400,1.70337000"
Mantes-la-Jolie,Paris,Mantes-la-Jolie,Paris Saint-Lazare,42,"48.9898400,1.70337000","48.8762420,2.32533100"
Paris,Vernon,Paris Saint-Lazare,Vernon - Giverny,52,"48.8762420,2.32533100","49.0915730,1.47829700"
Vernon,Le Val d'Hazey,Vernon - Giverny,Gaillon - Aubevoye,8,"49.0915730,1.47829700","49.1746640,1.35260900"
Le Val d'Hazey,Val-de-Reuil,Gaillon - Aubevoye,Val-de-Reuil,9,"49.1746640,1.35260900","49.2754370,1.22414700"
Val-de-Reuil,Alizay,Val-de-Reuil,Pont-de-l'Arche,5,"49.2754370,1.22414700","49.3171430,1.15966900"
Alizay,Oissel,Pont-de-l'Arche,Oissel,4,"49.3171430,1.15966900","49.3430850,1.10193700"
Oissel,Rouen,Oissel,Rouen Rive Droite,10,"49.3430850,1.10193700","49.4486630,1.09410300"
Paris,Mantes-la-Jolie,Paris Saint-Lazare,Mantes-la-Jolie,38,"48.8762420,2.32533100","48.9898400,1.70337000"
Mantes-la-Jolie,Vernon,Mantes-la-Jolie,Vernon - Giverny,17,"48.9898400,1.70337000","49.0915730,1.47829700"
Vernon,Bonnières-sur-Seine,Vernon - Giverny,Bonnières,7,"49.0915730,1.47829700","49.0386540,1.58163000"
Bonnières-sur-Seine,Rosny-sur-Seine,Bonnières,Rosny-sur-Seine,9,"49.0386540,1.58163000","48.9973110,1.63012100"
Rosny-sur-Seine,Mantes-la-Jolie,Rosny-sur-Seine,Mantes-la-Jolie,5,"48.9973110,1.63012100","48.9898400,1.70337000"
Mantes-la-Jolie,Rosny-sur-Seine,Mantes-la-Jolie,Rosny-sur-Seine,7,"48.9898400,1.70337000","48.9973110,1.63012100"
Rosny-sur-Seine,Bonnières-sur-Seine,Rosny-sur-Seine,Bonnières,9,"48.9973110,1.63012100","49.0386540,1.58163000"
Bonnières-sur-Seine,Vernon,Bonnières,Vernon - Giverny,6,"49.0386540,1.58163000","49.0915730,1.47829700"
Vernon,Paris,Vernon - Giverny,Paris Saint-Lazare,63,"49.0915730,1.47829700","48.8762420,2.32533100"
Val-de-Reuil,Oissel,Val-de-Reuil,Oissel,8,"49.2754370,1.22414700","49.3430850,1.10193700"
Oissel,Alizay,Oissel,Pont-de-l'Arche,4,"49.3430850,1.10193700","49.3171430,1.15966900"
Alizay,Val-de-Reuil,Pont-de-l'Arche,Val-de-Reuil,5,"49.3171430,1.15966900","49.2754370,1.22414700"
Orléans,Fleury-les-Aubrais,Orléans,Les Aubrais,4,"47.9078910,1.90424200","47.9268010,1.90712900"
Fleury-les-Aubrais,Paris,Les Aubrais,Paris Austerlitz,59,"47.9268010,1.90712900","48.8422850,2.36489100"
